call_id,condition_label,architecture,role,first_attempt_status,resolved_status,attempt_count,latency_ms,jsonl_integrity,agent_message_present
development-development-b01-light-independent-s01,light,independent,solver,semantic_response,semantic_response,1,43158,True,True
development-development-b01-medium-independent-s01,medium,independent,solver,semantic_response,semantic_response,1,192027,True,True
development-development-b01-medium-tournament20-e04,medium,tournament20,explorer,semantic_response,semantic_response,1,213828,True,True
development-development-b01-medium-tournament20-e05,medium,tournament20,explorer,semantic_response,semantic_response,1,146335,True,True
development-development-b01-medium-tournament20-e02,medium,tournament20,explorer,semantic_response,semantic_response,1,150633,True,True
development-development-b01-medium-tournament20-e03,medium,tournament20,explorer,semantic_response,semantic_response,1,176398,True,True
development-development-b01-medium-tournament20-e01,medium,tournament20,explorer,semantic_response,semantic_response,1,143553,True,True
development-development-b01-medium-tournament20-e07,medium,tournament20,explorer,semantic_response,semantic_response,1,161939,True,True
development-development-b01-medium-tournament20-e06,medium,tournament20,explorer,semantic_response,semantic_response,1,142544,True,True
development-development-b01-medium-tournament20-e08,medium,tournament20,explorer,semantic_response,semantic_response,1,153706,True,True
development-development-b01-medium-tournament20-b02,medium,tournament20,breaker,semantic_response,semantic_response,1,74538,True,True
development-development-b01-medium-tournament20-b03,medium,tournament20,breaker,semantic_response,semantic_response,1,98899,True,True
development-development-b01-medium-tournament20-b01,medium,tournament20,breaker,semantic_response,semantic_response,1,87417,True,True
development-development-b01-medium-tournament20-b04,medium,tournament20,breaker,semantic_response,semantic_response,1,90667,True,True
development-development-b01-medium-tournament20-v04,medium,tournament20,verifier,semantic_response,semantic_response,1,74468,True,True
development-development-b01-medium-tournament20-v03,medium,tournament20,verifier,semantic_response,semantic_response,1,55778,True,True
development-development-b01-medium-tournament20-v02,medium,tournament20,verifier,semantic_response,semantic_response,1,60810,True,True
development-development-b01-medium-tournament20-v01,medium,tournament20,verifier,semantic_response,semantic_response,1,62134,True,True
development-development-b01-medium-tournament20-sy01,medium,tournament20,synthesizer,semantic_response,semantic_response,1,35360,True,True
development-development-b01-medium-tournament20-sy02,medium,tournament20,synthesizer,semantic_response,semantic_response,1,43972,True,True
development-development-b01-medium-tournament20-rt01,medium,tournament20,red_team,semantic_response,semantic_response,1,54887,True,True
development-development-b01-medium-tournament20-j01,medium,tournament20,judge,semantic_response,semantic_response,1,19139,True,True
